quarter,scenario,category,description,insurance_value,hospital_bonds_value,pharma_equity_value,credit_facilities_value,portfolio_value,quarterly_return,score,ai_recommendation
1,Inflation Shock,Macro,Medical cost inflation increases claims and pressures hospital margins.,264000.0,230000.0,291000.0,142500.0,927500.0,-0.0725,19,Raise premium assumptions and shorten bond duration.
2,Drug Recall,Pharma,Major drug recall hurts pharma equity and increases litigation risk.,258720.0,223100.0,232800.0,136800.0,851420.0,-0.082,19,Reduce exposure to affected pharma names and diversify pipeline risk.
3,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",212150.4,196328.0,284016.0,125856.0,818350.4,-0.0388,61,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
4,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",173963.33,172768.64,346499.52,115787.52,809019.01,-0.0114,75,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
5,New Breakthrough Therapy,Innovation,Successful therapy improves outcomes and boosts pharma valuation.,180921.86,177951.7,408869.43,118103.27,885846.26,0.095,100,Increase allocation to high-quality pharma innovators.
6,Drug Recall,Pharma,Major drug recall hurts pharma equity and increases litigation risk.,177303.42,172613.15,327095.55,113379.14,790391.26,-0.1078,7,Reduce exposure to affected pharma names and diversify pipeline risk.
7,Hospital Bankruptcy,Credit,Regional hospital system files for bankruptcy.,171984.32,134638.26,323824.59,96372.27,726819.44,-0.0804,20,Exit distressed hospital bonds and tighten credit facility covenants.
8,Insurance Fraud Spike,Insurance,Fraudulent claims increase claim severity and reserve uncertainty.,144466.83,131945.49,323824.59,93481.1,693718.01,-0.0455,53,Increase fraud detection controls and strengthen claims review.
9,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",118462.8,116112.03,395066.0,86002.61,715643.45,0.0316,95,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
10,Hospital Bankruptcy,Credit,Regional hospital system files for bankruptcy.,114908.92,90567.38,391115.34,73102.22,669693.86,-0.0642,28,Exit distressed hospital bonds and tighten credit facility covenants.
11,Recovery Quarter,Recovery,"Claims stabilize, hospitals recover margins, pharma rebounds.",124101.63,99624.12,418493.42,76026.31,718245.48,0.0725,100,Rebalance gradually toward diversified growth exposure.
12,Hospital Staffing Shortage,Operations,Labor shortage increases hospital costs and reduces capacity.,117896.55,85676.75,426863.28,71464.73,701901.31,-0.0228,64,Reduce weak hospital bond exposure and monitor operating margins.
13,Hospital Bankruptcy,Credit,Regional hospital system files for bankruptcy.,114359.65,66827.86,422594.65,60745.02,664527.19,-0.0532,34,Exit distressed hospital bonds and tighten credit facility covenants.
14,New Breakthrough Therapy,Innovation,Successful therapy improves outcomes and boosts pharma valuation.,118934.04,68832.7,498661.69,61959.92,748388.35,0.1262,100,Increase allocation to high-quality pharma innovators.
15,New Breakthrough Therapy,Innovation,Successful therapy improves outcomes and boosts pharma valuation.,123691.4,70897.68,588420.79,63199.12,846208.99,0.1307,100,Increase allocation to high-quality pharma innovators.
16,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",101426.95,62389.96,717873.37,58143.19,939833.46,0.1106,100,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
17,Regulatory Reimbursement Cut,Policy,Government reimbursement cuts pressure hospitals and insurers.,94327.06,55527.06,689158.43,55236.03,894248.59,-0.0485,51,Stress test reimbursement-sensitive assets.
18,Insurance Fraud Spike,Insurance,Fraudulent claims increase claim severity and reserve uncertainty.,79234.73,54416.52,689158.43,53578.95,876388.63,-0.02,66,Increase fraud detection controls and strengthen claims review.
19,Recovery Quarter,Recovery,"Claims stabilize, hospitals recover margins, pharma rebounds.",85573.51,59858.17,737399.52,55722.11,938553.31,0.0709,100,Rebalance gradually toward diversified growth exposure.
20,New Breakthrough Therapy,Innovation,Successful therapy improves outcomes and boosts pharma valuation.,88996.45,61653.92,870131.44,56836.55,1077618.35,0.1482,100,Increase allocation to high-quality pharma innovators.
21,Clinical Trial Failure,Pharma,Late-stage trial failure reduces pharma portfolio value.,88996.45,61037.38,730910.41,55699.82,936644.05,-0.1308,0,Reduce concentration in single-product companies.
22,Regulatory Reimbursement Cut,Policy,Government reimbursement cuts pressure hospitals and insurers.,82766.7,54323.27,701673.99,52914.83,891678.78,-0.048,51,Stress test reimbursement-sensitive assets.
23,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",67868.69,47804.47,856042.27,48681.64,1020397.08,0.1444,100,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
24,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",55652.33,42067.94,1044371.57,44787.11,1186878.94,0.1632,100,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
25,Hospital Staffing Shortage,Operations,Labor shortage increases hospital costs and reduces capacity.,52869.71,36178.43,1065259.0,42099.88,1196407.02,0.008,79,Reduce weak hospital bond exposure and monitor operating margins.
26,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",43353.16,31837.02,1299615.98,38731.89,1413538.05,0.1815,100,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
27,Clinical Trial Failure,Pharma,Late-stage trial failure reduces pharma portfolio value.,43353.16,31518.65,1091677.42,37957.26,1204506.49,-0.1479,0,Reduce concentration in single-product companies.
28,Clinical Trial Failure,Pharma,Late-stage trial failure reduces pharma portfolio value.,43353.16,31203.46,917009.03,37198.11,1028763.77,-0.1459,0,Reduce concentration in single-product companies.
29,Pandemic Declaration,Public Health,"Claims surge, hospital stress, vaccine companies benefit.",35549.59,27459.04,1118751.02,34222.26,1215981.92,0.182,100,Increase IBNR reserves and rebalance toward vaccine/diagnostic companies.
30,Drug Recall,Pharma,Major drug recall hurts pharma equity and increases litigation risk.,34838.6,26635.27,895000.82,32853.37,989328.06,-0.1864,0,Reduce exposure to affected pharma names and diversify pipeline risk.
31,Hospital Bankruptcy,Credit,Regional hospital system files for bankruptcy.,33793.44,20775.51,886050.81,27925.37,968545.13,-0.021,70,Exit distressed hospital bonds and tighten credit facility covenants.
32,Hospital Staffing Shortage,Operations,Labor shortage increases hospital costs and reduces capacity.,32103.77,17866.94,903771.82,26249.84,979992.38,0.0118,80,Reduce weak hospital bond exposure and monitor operating margins.
33,Hospital Bankruptcy,Credit,Regional hospital system files for bankruptcy.,31140.66,13936.21,894734.11,22312.37,962123.35,-0.0182,71,Exit distressed hospital bonds and tighten credit facility covenants.
34,Clinical Trial Failure,Pharma,Late-stage trial failure reduces pharma portfolio value.,31140.66,13796.85,751576.65,21866.12,818380.28,-0.1494,0,Reduce concentration in single-product companies.
35,Recovery Quarter,Recovery,"Claims stabilize, hospitals recover margins, pharma rebounds.",33631.91,15176.54,804187.01,22740.76,875736.23,0.0701,100,Rebalance gradually toward diversified growth exposure.
36,Recovery Quarter,Recovery,"Claims stabilize, hospitals recover margins, pharma rebounds.",36322.46,16694.19,860480.11,23650.39,937147.16,0.0701,100,Rebalance gradually toward diversified growth exposure.
37,Regulatory Reimbursement Cut,Policy,Government reimbursement cuts pressure hospitals and insurers.,33779.89,14857.83,826060.9,22467.88,897166.5,-0.0427,54,Stress test reimbursement-sensitive assets.
38,Inflation Shock,Macro,Medical cost inflation increases claims and pressures hospital margins.,29726.3,13669.2,801279.07,21344.48,866019.06,-0.0347,58,Raise premium assumptions and shorten bond duration.
39,Regulatory Reimbursement Cut,Policy,Government reimbursement cuts pressure hospitals and insurers.,27645.46,12165.59,769227.91,20277.26,829316.22,-0.0424,54,Stress test reimbursement-sensitive assets.
40,Hospital Bankruptcy,Credit,Regional hospital system files for bankruptcy.,26816.1,9489.16,761535.63,17235.67,815076.56,-0.0172,72,Exit distressed hospital bonds and tighten credit facility covenants.
